,Churn,MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,OverageMinutes,RoamingCalls,DroppedCalls,CustomerCareCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,CallForwardingCalls,CallWaitingCalls,MonthsInService,Age,CreditRating,PrizmCode,Occupation,MaritalStatus
10223,No,50,353,50,0,0,3,0,47,34,5,79,30,0,1,28,38,3-Good,Town,Other,No
10224,No,49,1156,60,0,0,4,6,80,35,2,68,79,0,0,28,60,2-High,Other,Professional,Yes
10225,No,32,84,32,0,0,3,0,8,8,3,20,28,0,0,26,36,2-High,Suburban,Other,Yes
10226,No,32,93,30,5,0,0,0,10,17,0,29,17,0,0,28,46,2-High,Other,Other,No
10227,No,61,294,70,0,0,0,1,44,44,13,81,37,0,0,28,32,4-Medium,Other,Other,Unknown
10228,Yes,35,132,30,5,0,0,0,16,8,0,48,33,0,0,22,48,2-High,Other,Other,Yes
10229,Yes,50,338,50,8,0,7,0,112,35,11,56,43,0,0,24,34,7-Lowest,Other,Other,Unknown
10230,No,27,320,25,10,0,1,0,44,14,3,58,27,0,0,28,42,1-Highest,Suburban,Other,Unknown
10231,No,49,359,60,0,0,3,0,112,33,19,122,44,0,0,24,30,2-High,Other,Other,No
10232,No,30,42,30,0,0,0,0,0,0,0,3,0,0,0,28,56,2-High,Town,Other,Yes
10233,Yes,54,521,50,6,2,4,0,126,31,10,115,56,0,0,24,38,3-Good,Town,Other,Unknown
10234,No,40,1010,45,3,0,6,2,107,23,1,73,79,0,2,28,52,5-Low,Other,Other,No
10235,No,43,342,30,38,0,1,0,59,30,12,71,6,0,0,24,62,2-High,Other,Other,Yes
10236,No,86,702,80,0,0,14,0,185,54,18,107,39,0,2,22,41,3-Good,Other,Other,No
10237,No,41,157,30,32,0,0,0,12,5,3,33,29,0,0,22,38,2-High,Other,Professional,Yes
10238,Yes,54,245,50,0,4,1,0,52,4,4,63,31,0,0,26,42,2-High,Suburban,Other,No
10239,Yes,29,72,30,0,0,0,0,16,0,0,20,3,0,0,24,56,2-High,Other,Professional,Yes
10240,Yes,49,450,30,41,0,0,0,69,10,5,92,18,0,0,28,45,2-High,Town,Other,Unknown
10241,Yes,26,33,17,22,0,0,0,5,0,0,3,7,0,0,24,80,6-VeryLow,Suburban,Other,Yes
10242,No,69,690,50,50,0,25,0,98,59,27,77,117,0,1,22,52,2-High,Suburban,Professional,Yes
10243,No,55,418,35,42,0,9,0,75,14,2,64,74,0,1,22,34,4-Medium,Suburban,Other,Yes
10244,No,40,706,43,14,0,5,5,115,8,1,71,56,0,0,26,46,3-Good,Town,Other,No
10245,No,57,429,70,11,0,7,0,37,43,5,100,57,0,1,22,46,4-Medium,Suburban,Other,Unknown
10246,No,11,39,10,0,1,0,0,3,5,1,16,9,0,0,26,26,2-High,Other,Other,No
10247,No,30,5,30,0,0,0,0,0,0,0,1,0,0,0,22,50,2-High,Other,Other,Yes
10248,No,29,3,30,0,0,0,0,1,0,0,1,0,0,0,24,60,3-Good,Suburban,Other,No
10249,Yes,29,159,30,0,0,8,0,17,3,1,15,69,0,0,26,54,3-Good,Suburban,Other,Yes
10250,No,64,305,25,102,0,3,0,207,11,10,41,28,0,0,26,48,5-Low,Other,Other,Yes
10251,No,100,982,85,32,0,14,2,303,50,1,239,122,0,0,28,60,5-Low,Other,Other,Unknown
10252,No,30,40,30,0,0,0,0,12,8,0,10,3,0,0,22,57,7-Lowest,Other,Other,Unknown
10253,No,45,494,35,24,0,10,23,79,70,5,155,120,0,1,22,38,3-Good,Other,Other,No
10254,No,43,529,50,0,0,6,4,198,26,23,73,57,0,0,24,59,4-Medium,Other,Other,Unknown
10255,Yes,68,152,50,0,0,2,0,52,11,0,8,33,0,0,22,76,1-Highest,Suburban,Other,Unknown
10256,No,13,156,10,0,0,1,0,10,18,4,43,43,0,0,22,56,6-VeryLow,Other,Other,No
10257,No,39,703,40,0,0,10,1,220,17,17,84,88,0,3,28,62,2-High,Town,Other,Unknown
10258,Yes,35,215,45,0,0,3,0,7,14,0,36,29,0,0,22,63,4-Medium,Other,Other,Unknown
10259,No,29,48,30,0,0,0,0,11,0,0,14,8,0,0,22,46,2-High,Other,Other,Unknown
10260,Yes,86,532,85,0,7,4,0,139,42,3,171,53,0,1,26,38,3-Good,Town,Other,Yes
10261,No,40,196,33,22,0,4,0,20,5,0,53,8,0,0,28,34,2-High,Town,Other,Yes
10262,No,30,24,30,0,0,1,0,1,4,0,14,1,0,0,22,54,2-High,Other,Professional,No
10263,Yes,30,122,30,0,0,3,0,19,23,3,31,30,0,0,24,30,2-High,Other,Other,No
10264,No,43,280,42,0,0,5,1,43,15,1,63,35,0,0,26,42,5-Low,Suburban,Other,Unknown
10265,No,43,304,45,11,0,3,0,25,27,5,99,23,0,0,28,30,3-Good,Other,Other,Yes
10266,No,76,1032,95,0,0,2,1,217,78,21,222,166,0,2,26,22,1-Highest,Other,Other,No
10267,No,51,636,50,0,0,2,0,200,20,8,84,59,0,2,26,27,2-High,Other,Other,Unknown
10268,Yes,35,28,35,0,0,2,0,2,0,0,10,1,0,0,26,86,2-High,Other,Other,Unknown
10269,No,54,460,50,0,0,7,0,97,10,4,77,36,0,0,24,29,2-High,Town,Other,Unknown
10270,Yes,57,270,60,0,7,1,0,40,12,0,63,14,0,0,26,48,4-Medium,Suburban,Professional,Yes
10271,Yes,20,68,20,0,0,3,0,0,12,0,36,1,0,0,26,34,2-High,Other,Other,Unknown
10272,Yes,51,380,50,0,0,11,0,63,16,2,152,73,0,0,24,74,1-Highest,Other,Professional,No
10273,No,10,166,10,0,0,0,0,37,15,5,37,38,0,0,24,44,1-Highest,Town,Professional,Unknown
10274,No,9,343,10,0,0,8,0,57,14,0,81,24,0,0,24,42,1-Highest,Other,Other,No
10275,No,74,212,11,57,0,7,9,178,24,8,172,72,0,0,28,35,6-VeryLow,Other,Other,Unknown
10276,Yes,119,1151,70,164,1,7,1,148,83,9,86,136,0,2,24,36,4-Medium,Suburban,Other,Unknown
10277,No,55,390,50,0,3,19,0,61,18,2,126,57,0,0,22,40,2-High,Suburban,Other,Unknown
10278,No,42,539,40,0,0,1,0,197,43,3,103,145,0,5,28,38,2-High,Other,Other,Unknown
10279,Yes,79,1001,60,36,14,22,3,217,60,26,194,218,0,2,28,39,2-High,Suburban,Other,Unknown
10280,No,60,622,50,3,0,9,0,224,16,3,204,75,0,0,22,54,2-High,Other,Other,Unknown
10281,No,36,94,35,0,0,4,0,31,1,5,42,15,0,0,22,41,6-VeryLow,Other,Other,Unknown
10282,No,76,1008,75,34,0,10,5,515,40,1,158,57,0,2,22,38,2-High,Other,Other,No
10283,Yes,133,730,50,40,64,22,0,132,30,4,90,31,0,0,26,56,2-High,Town,Other,Yes
10284,No,38,358,46,0,0,1,0,0,0,0,21,19,0,0,24,36,2-High,Suburban,Other,Yes
10285,No,201,1017,110,381,0,1,3,314,78,18,366,50,0,4,22,30,4-Medium,Town,Professional,Yes
10286,Yes,29,64,30,0,0,1,0,0,6,0,22,1,0,0,26,44,2-High,Other,Other,Yes
10287,No,32,82,30,0,0,1,0,23,4,0,18,27,0,0,24,42,1-Highest,Other,Other,Yes
10288,Yes,36,110,30,14,1,1,0,0,0,0,11,12,0,0,22,48,3-Good,Other,Other,No
10289,Yes,13,0,10,0,0,0,0,0,0,0,0,0,0,0,26,36,1-Highest,Suburban,Clerical,Yes
10290,No,53,695,45,72,0,4,2,228,30,4,59,63,0,3,22,26,6-VeryLow,Suburban,Professional,No
10291,No,95,1184,53,133,0,81,7,190,91,9,367,80,0,7,28,24,2-High,Other,Other,Unknown
10292,No,60,322,55,0,0,3,3,21,1,0,39,16,0,0,24,46,4-Medium,Other,Other,No
10293,No,285,2435,100,530,0,11,0,664,107,60,786,300,0,22,28,32,5-Low,Other,Other,No
10294,No,30,48,30,0,0,1,0,3,6,0,12,10,0,0,26,36,1-Highest,Town,Professional,Unknown
10295,No,52,201,50,0,0,0,0,0,0,0,0,3,0,0,24,62,2-High,Other,Other,No
10296,No,142,2100,105,164,0,15,0,870,42,3,519,131,0,30,26,56,2-High,Town,Other,Unknown
10297,No,31,140,25,12,0,0,0,0,0,0,48,12,0,0,22,48,2-High,Other,Professional,Yes
10298,No,36,148,30,20,0,1,0,41,1,9,40,25,0,0,22,32,4-Medium,Other,Other,Yes
10299,No,45,456,36,0,0,1,0,40,53,2,185,55,0,0,22,46,2-High,Other,Other,Yes
10300,Yes,100,702,71,88,0,9,5,191,27,8,246,46,0,3,26,36,2-High,Suburban,Other,Unknown
10301,No,52,230,52,0,0,5,0,41,11,0,45,48,0,0,22,61,2-High,Other,Other,Unknown
10302,No,50,534,57,1,0,16,3,86,19,2,77,92,0,0,24,32,4-Medium,Rural,Other,Yes
10303,No,44,540,35,20,0,6,0,76,31,1,73,99,0,2,26,52,4-Medium,Other,Crafts,Yes
10304,No,124,1299,53,258,0,33,7,416,31,1,372,101,0,3,28,64,4-Medium,Other,Other,Unknown
10305,No,34,74,39,8,0,1,0,11,2,0,15,11,0,0,26,44,7-Lowest,Other,Other,No
10306,Yes,33,258,14,65,0,1,0,20,4,1,15,18,0,0,26,38,4-Medium,Other,Other,No
10307,Yes,30,44,30,0,0,0,0,0,0,0,14,3,0,0,22,42,2-High,Other,Other,Unknown
10308,Yes,69,44,19,15,0,2,1,2,4,1,13,9,0,0,22,46,3-Good,Other,Other,Yes
10309,No,52,272,50,0,0,0,0,12,4,0,27,31,0,1,24,24,2-High,Town,Other,Unknown
10310,No,57,247,42,31,0,2,0,61,17,1,56,37,0,2,28,25,4-Medium,Other,Professional,No
10311,No,93,606,50,144,0,3,0,94,37,10,47,18,0,0,28,30,1-Highest,Suburban,Other,Yes
10312,No,38,404,45,0,0,15,4,171,36,0,61,184,0,2,24,27,7-Lowest,Other,Other,Unknown
10313,Yes,25,48,25,0,0,0,0,13,2,0,7,11,0,0,24,28,2-High,Other,Other,No
10314,No,39,42,40,0,0,0,0,0,0,0,7,0,0,0,24,48,2-High,Other,Other,No
10315,No,17,51,17,0,0,6,0,4,0,0,13,2,0,1,26,34,2-High,Suburban,Other,Yes
10316,No,47,134,35,35,0,4,0,9,5,0,40,7,0,0,26,46,2-High,Suburban,Other,Yes
10317,No,42,228,44,0,0,3,0,63,17,5,54,36,0,1,22,54,2-High,Other,Clerical,No
10318,Yes,50,258,60,0,0,6,0,60,33,21,71,31,0,1,22,33,5-Low,Suburban,Other,Unknown
10319,Yes,34,100,30,2,3,2,0,6,8,0,24,22,0,0,22,46,2-High,Town,Professional,Yes
10320,No,83,732,95,0,1,8,0,127,58,16,256,30,0,2,24,34,2-High,Suburban,Other,Yes
10321,No,45,164,45,0,0,36,0,17,10,2,49,18,0,1,26,40,2-High,Town,Professional,Yes
10322,No,41,49,30,0,0,1,0,0,4,0,6,3,0,0,22,44,3-Good,Other,Other,Unknown
10323,No,35,606,45,0,0,1,5,57,54,6,57,119,0,1,26,24,3-Good,Town,Student,No
10324,Yes,15,13,15,3,0,2,0,0,1,0,1,2,0,0,26,42,1-Highest,Suburban,Other,Unknown
10325,No,27,50,27,0,0,0,0,20,4,0,7,14,0,0,24,40,2-High,Suburban,Crafts,No
10326,No,34,387,42,10,0,4,0,69,10,9,68,69,0,1,22,48,2-High,Suburban,Other,Unknown
10327,No,29,105,30,0,0,6,2,0,0,0,29,11,0,0,28,42,2-High,Other,Other,Unknown
10328,No,67,1815,71,5,0,2,7,94,31,11,103,92,0,0,26,43,2-High,Other,Other,Unknown
10329,Yes,30,206,30,0,0,1,10,5,0,0,45,6,0,0,26,68,2-High,Rural,Crafts,Yes
10330,No,36,303,35,2,0,2,0,58,16,2,70,46,0,0,28,45,4-Medium,Other,Other,Unknown
10331,No,52,308,50,0,0,4,0,45,8,2,86,30,0,0,28,50,2-High,Other,Professional,Yes
10332,No,20,69,20,0,0,1,0,6,5,0,28,9,0,0,26,60,2-High,Other,Other,Yes
10333,No,17,4,17,0,0,0,0,0,0,0,2,0,0,0,22,80,2-High,Other,Other,Yes
10334,No,16,237,10,10,0,0,0,30,8,4,36,57,0,0,28,49,4-Medium,Other,Other,Unknown
10335,No,61,520,50,17,0,1,0,96,47,5,110,74,0,1,22,54,3-Good,Suburban,Other,Yes
10336,No,29,64,30,0,0,0,0,3,21,2,33,11,0,0,26,46,1-Highest,Town,Professional,Yes
10337,No,43,141,32,0,9,1,0,7,5,0,15,7,0,0,26,38,3-Good,Town,Other,Yes
10338,Yes,64,255,30,90,0,4,0,50,8,2,62,59,0,0,28,50,2-High,Suburban,Other,Yes
10339,Yes,33,86,30,0,0,2,0,4,2,0,17,20,0,0,28,54,2-High,Town,Professional,No
10340,Yes,33,27,44,0,0,0,0,2,0,0,15,3,0,0,26,56,2-High,Other,Other,No
10341,No,93,2047,85,49,1,20,2,515,74,28,421,177,0,10,28,34,3-Good,Suburban,Other,Unknown
10342,No,22,76,20,5,0,0,0,15,4,1,18,7,0,0,24,48,2-High,Town,Professional,Yes
10343,No,35,194,45,0,0,0,0,0,0,0,0,0,0,0,26,36,2-High,Town,Other,Yes
10344,Yes,28,126,26,6,0,2,1,47,6,12,27,11,0,0,22,34,1-Highest,Other,Professional,Unknown
10345,No,34,98,45,0,0,1,0,9,6,0,33,11,0,0,26,38,3-Good,Suburban,Other,Yes
10346,No,58,333,35,46,0,4,0,51,17,1,71,38,0,0,24,61,2-High,Other,Other,Unknown
10347,Yes,46,76,45,0,0,0,0,22,8,3,22,8,0,0,26,24,2-High,Town,Other,Unknown
10348,No,78,545,85,0,0,6,0,215,76,44,115,104,0,2,26,26,2-High,Other,Other,No
10349,No,30,77,30,2,0,0,0,7,0,0,11,3,0,0,26,64,2-High,Town,Other,Unknown
10350,No,36,924,37,0,0,17,4,311,72,45,68,166,0,4,28,24,3-Good,Other,Other,No
10351,Yes,18,321,10,22,0,5,0,109,56,12,107,47,0,0,28,36,1-Highest,Rural,Professional,Yes
10352,Yes,29,72,40,0,0,0,0,0,1,0,8,10,0,0,28,66,2-High,Suburban,Retired,No
10353,No,30,64,30,0,0,0,0,8,4,1,9,9,0,0,22,32,2-High,Other,Other,Unknown
10354,No,110,771,70,156,2,3,0,193,51,32,229,30,0,3,26,24,4-Medium,Suburban,Other,Unknown
10355,No,33,79,30,0,0,1,0,0,0,0,21,7,0,0,28,32,1-Highest,Suburban,Professional,Yes
10356,No,111,994,60,202,0,4,0,152,44,4,149,34,0,0,28,60,2-High,Other,Other,Unknown
10357,No,63,805,35,86,0,5,0,301,13,22,85,126,0,2,26,46,1-Highest,Other,Other,Yes
10358,No,63,956,60,38,1,14,0,234,116,35,161,325,0,10,26,50,7-Lowest,Other,Other,Yes
10359,No,68,1597,75,0,0,6,0,932,69,28,39,186,0,1,22,50,2-High,Other,Clerical,Unknown
10360,Yes,37,296,45,0,0,0,0,40,11,2,38,47,0,0,26,32,2-High,Other,Other,Yes
10361,Yes,54,658,60,2,0,4,1,195,22,4,123,113,0,0,22,52,3-Good,Other,Other,No
10362,Yes,35,86,45,0,0,0,0,0,0,0,3,0,0,0,26,36,2-High,Other,Other,Unknown
10363,Yes,24,22,25,0,0,2,0,0,1,0,6,3,0,0,24,66,2-High,Other,Retired,Yes
10364,No,124,588,105,89,2,7,0,150,34,7,88,18,0,0,22,34,2-High,Town,Other,Yes
10365,No,35,68,35,2,0,0,0,0,0,0,0,0,0,0,22,35,7-Lowest,Suburban,Other,No
10366,Yes,53,254,30,49,0,10,0,1,2,0,57,12,0,0,22,56,4-Medium,Other,Clerical,No
10367,No,54,241,25,60,0,0,0,39,6,0,59,31,0,0,28,54,2-High,Other,Clerical,Yes
10368,No,203,3046,160,229,0,10,2,1166,172,100,632,260,0,32,28,38,4-Medium,Other,Other,Unknown
10369,No,29,94,30,0,0,2,0,23,2,0,18,12,0,0,26,39,3-Good,Other,Other,Unknown
10370,No,45,325,42,11,0,3,0,65,12,4,75,24,0,0,24,40,1-Highest,Suburban,Other,Unknown
10371,No,32,28,32,0,0,0,0,0,0,0,5,3,0,0,22,54,2-High,Other,Professional,Yes
10372,No,78,634,50,71,0,2,17,106,38,0,175,51,0,0,28,50,2-High,Town,Other,Yes
10373,No,55,368,30,61,0,1,0,79,13,12,86,13,0,1,22,56,2-High,Suburban,Other,Yes
10374,No,39,229,30,20,0,8,0,61,11,1,66,28,0,0,26,26,2-High,Other,Other,Unknown
10375,No,73,390,54,46,7,1,2,102,20,3,72,41,0,0,24,36,4-Medium,Suburban,Other,No
10376,No,99,484,60,152,0,9,0,126,43,18,111,71,0,0,24,54,3-Good,Other,Professional,Yes
10377,No,13,135,12,1,0,2,0,24,18,8,35,27,0,0,24,36,2-High,Suburban,Other,Yes
10378,No,62,289,70,9,0,2,0,46,26,10,88,66,0,0,26,44,2-High,Other,Professional,Yes
10379,No,17,9,17,2,0,0,0,0,0,0,3,1,0,0,22,50,2-High,Suburban,Other,Unknown
10380,No,41,164,30,0,6,3,0,2,15,0,28,7,0,0,26,80,2-High,Suburban,Retired,Yes
10381,No,78,653,70,23,0,5,6,63,109,28,140,139,0,1,22,52,2-High,Other,Professional,Unknown
10382,No,50,342,70,0,0,1,0,71,17,1,64,16,0,0,26,58,2-High,Suburban,Other,Unknown
10383,No,34,282,45,0,0,11,0,36,8,11,25,41,0,0,26,54,4-Medium,Town,Other,Unknown
10384,No,39,266,36,0,0,7,0,74,9,5,55,86,0,0,24,54,5-Low,Other,Other,Unknown
10385,No,53,399,60,0,0,3,0,53,12,1,45,35,0,0,24,40,2-High,Other,Professional,No
10386,No,49,295,22,77,0,7,0,44,9,1,56,33,0,0,28,56,7-Lowest,Other,Other,Unknown
10387,Yes,7,2,8,2,0,0,0,0,0,0,0,0,0,0,24,58,6-VeryLow,Suburban,Professional,Yes
10388,No,35,146,35,0,0,0,0,23,1,0,60,22,0,1,24,26,3-Good,Other,Crafts,No
10389,No,33,220,40,12,0,2,0,48,5,8,81,28,0,0,22,38,4-Medium,Suburban,Other,Yes
10390,No,35,49,30,0,2,0,0,0,0,0,5,9,0,0,22,32,2-High,Other,Other,No
10391,No,50,392,60,0,0,3,0,151,33,12,73,47,0,0,24,28,3-Good,Other,Other,Yes
10392,Yes,28,40,30,0,0,1,0,1,0,0,14,3,0,0,26,44,1-Highest,Suburban,Other,Yes
10393,No,45,86,45,0,0,0,0,4,3,1,22,15,0,0,24,46,2-High,Town,Retired,Yes
10394,No,83,1146,79,12,0,4,7,294,39,6,137,127,0,2,26,40,2-High,Suburban,Other,Unknown
10395,No,30,0,30,0,0,0,0,0,0,0,0,0,0,0,22,20,2-High,Other,Other,No
10396,Yes,49,470,42,27,0,2,0,275,9,1,133,40,0,0,22,38,1-Highest,Suburban,Other,Yes
10397,No,75,558,25,37,0,3,0,109,44,12,74,143,0,4,24,42,2-High,Suburban,Professional,Yes
10398,Yes,33,98,30,7,1,6,0,11,0,0,36,0,0,0,26,56,2-High,Rural,Retired,Yes
10399,No,10,21,10,0,0,0,0,0,1,0,6,0,0,0,26,66,2-High,Rural,Retired,Yes
10400,Yes,41,48,42,0,0,2,0,0,3,0,3,1,0,0,22,44,2-High,Other,Other,Unknown
10401,No,52,284,50,0,0,3,0,90,10,1,44,40,0,0,24,56,3-Good,Other,Crafts,No
10402,Yes,81,582,50,104,0,1,0,100,9,0,104,25,0,0,22,27,2-High,Other,Other,Unknown
10403,No,40,111,30,11,0,11,0,5,11,0,13,33,0,0,26,28,3-Good,Suburban,Other,No
10404,No,67,570,60,40,0,15,1,134,35,10,161,60,0,0,22,28,2-High,Town,Professional,Unknown
10405,No,32,109,30,10,0,0,1,0,0,0,9,1,0,0,22,66,2-High,Suburban,Professional,Yes
10406,No,50,0,50,0,0,0,0,0,0,0,0,0,0,0,22,31,1-Highest,Suburban,Other,Unknown
10407,No,63,221,27,77,7,5,4,9,20,1,46,37,0,0,24,32,3-Good,Other,Other,Unknown
10408,No,28,221,40,0,0,0,1,22,8,3,43,9,0,0,28,38,2-High,Suburban,Other,Yes
10409,No,43,152,42,4,0,0,0,44,10,4,31,16,0,0,22,36,2-High,Suburban,Other,Yes
10410,Yes,47,90,42,15,0,0,0,1,2,0,8,7,0,0,24,28,2-High,Other,Other,Yes
10411,Yes,58,418,50,25,0,1,0,149,63,50,164,61,0,2,22,48,3-Good,Suburban,Other,Yes
10412,Yes,50,343,60,0,2,1,0,87,19,9,10,31,0,0,28,37,3-Good,Other,Other,Unknown
10413,Yes,30,19,30,0,0,1,0,0,0,0,7,3,0,0,26,38,3-Good,Suburban,Other,No
10414,No,30,75,28,0,0,1,0,10,4,0,7,7,0,0,24,32,2-High,Other,Other,No
10415,No,134,1267,95,147,0,7,3,239,159,42,336,118,0,4,26,54,5-Low,Town,Other,Yes
10416,No,111,939,54,120,0,6,1,453,44,20,96,86,0,3,24,28,6-VeryLow,Other,Other,No
10417,No,50,752,60,0,0,4,0,34,15,2,41,35,0,0,26,60,2-High,Other,Other,Yes
10418,Yes,57,607,70,1,0,1,10,107,75,12,85,85,0,3,24,64,3-Good,Other,Other,Yes
10419,No,23,74,15,33,0,3,0,7,2,0,13,9,0,0,22,42,6-VeryLow,Other,Other,Unknown
10420,Yes,69,398,70,28,0,1,0,78,32,8,132,20,0,0,24,34,2-High,Suburban,Other,Yes
10421,No,22,33,23,0,0,0,4,4,5,0,13,10,0,0,28,46,4-Medium,Other,Other,Unknown
10422,No,30,100,30,0,0,1,0,19,7,0,16,25,0,0,22,58,2-High,Town,Crafts,Yes
10423,Yes,34,6,15,2,0,0,0,0,0,0,0,0,0,0,22,48,1-Highest,Suburban,Other,Unknown
10424,No,30,18,30,0,0,0,0,0,1,0,2,4,0,0,22,34,2-High,Suburban,Other,Unknown
10425,No,30,296,30,0,0,6,0,43,8,0,77,21,0,1,22,44,2-High,Town,Professional,Yes
10426,No,58,562,50,24,1,7,0,218,38,20,116,82,0,1,26,72,1-Highest,Other,Other,Yes
10427,Yes,35,262,35,0,0,4,0,103,10,0,116,21,0,0,24,50,4-Medium,Suburban,Professional,No
10428,No,38,35,35,0,0,2,0,5,0,0,13,1,0,0,24,53,2-High,Other,Other,Unknown
10429,No,36,645,36,0,0,4,0,287,45,12,102,122,0,4,28,32,1-Highest,Other,Other,No
10430,No,55,664,50,0,1,6,0,149,89,35,152,256,0,11,24,48,1-Highest,Suburban,Professional,Yes
10431,No,82,648,85,3,2,6,0,74,40,0,157,31,0,0,28,40,1-Highest,Suburban,Professional,Yes
10432,No,43,330,45,11,0,0,2,29,8,0,82,56,0,0,28,50,2-High,Other,Other,Yes
10433,No,42,270,35,16,0,2,0,44,6,1,45,26,0,0,26,52,3-Good,Suburban,Other,No
10434,No,30,217,30,0,0,4,0,41,8,5,121,13,0,0,24,59,3-Good,Other,Other,Unknown
10435,No,87,698,79,34,0,0,0,113,12,5,85,34,0,0,24,54,1-Highest,Other,Professional,Yes
10436,Yes,59,160,50,0,8,20,0,22,4,1,49,7,0,0,26,42,6-VeryLow,Town,Other,Unknown
10437,No,55,250,60,0,4,3,0,66,16,7,72,13,0,0,28,62,2-High,Town,Other,Unknown
10438,No,34,180,45,0,0,0,0,29,17,2,22,26,0,0,26,32,2-High,Other,Professional,No
10439,No,59,260,70,0,0,1,0,67,13,8,57,21,0,1,24,32,2-High,Suburban,Professional,Yes
10440,No,143,1004,60,245,0,38,0,211,62,10,347,100,0,0,22,48,5-Low,Other,Other,Yes
10441,No,43,586,35,0,0,4,0,202,34,15,45,134,0,0,22,50,2-High,Other,Professional,No
10442,No,10,48,10,0,0,0,0,0,2,0,11,4,0,0,24,54,2-High,Other,Professional,Yes
10443,No,39,94,30,16,4,2,0,14,0,0,4,8,0,0,28,42,2-High,Other,Professional,No
10444,No,58,889,45,62,0,0,0,0,0,0,0,0,0,0,26,24,2-High,Other,Other,Unknown
10445,No,43,196,38,0,0,2,0,54,2,0,42,29,0,0,24,25,2-High,Other,Other,Unknown
10446,Yes,67,715,73,6,0,5,0,235,34,10,85,83,0,0,22,46,4-Medium,Other,Other,Unknown
10447,No,50,614,70,0,0,0,7,17,18,3,98,22,0,1,28,62,4-Medium,Suburban,Other,Yes
10448,No,42,74,42,0,0,7,0,8,6,0,29,6,0,0,28,52,2-High,Suburban,Professional,Yes
10449,No,43,58,9,0,0,0,0,26,2,0,42,8,0,0,28,40,4-Medium,Suburban,Crafts,Yes
10450,Yes,51,554,50,4,0,1,0,159,25,90,168,74,0,1,24,46,5-Low,Town,Other,Yes
10451,No,35,424,45,9,0,3,0,90,29,7,45,87,0,1,26,26,3-Good,Other,Other,No
10452,Yes,149,650,160,0,0,7,0,159,30,11,131,24,0,1,28,60,2-High,Town,Other,Yes
10453,No,257,954,60,49,0,10,0,99,10,3,87,109,0,1,24,24,3-Good,Suburban,Other,Unknown
10454,No,62,254,72,0,0,0,0,99,13,17,35,26,0,0,26,38,2-High,Other,Other,Yes
10455,No,228,1442,10,343,0,17,0,447,83,20,401,72,0,5,22,35,3-Good,Other,Other,No
10456,No,71,356,70,0,0,3,0,43,40,5,89,4,0,0,26,32,2-High,Suburban,Professional,Yes
10457,No,35,48,34,4,0,0,0,9,4,2,10,7,0,0,24,42,1-Highest,Town,Self,Yes
10458,No,19,18,17,7,0,0,0,2,0,0,4,6,0,0,26,32,3-Good,Suburban,Other,Yes
10459,Yes,30,48,30,0,0,0,0,0,0,0,4,1,0,0,24,58,2-High,Other,Other,Unknown
10460,No,76,441,73,22,6,15,1,59,13,0,80,46,0,1,26,40,4-Medium,Other,Other,Unknown
10461,No,37,359,45,6,0,9,0,63,53,16,74,85,0,0,26,34,1-Highest,Suburban,Other,Unknown
10462,Yes,60,220,70,0,0,18,0,54,24,0,57,29,0,1,28,48,2-High,Other,Professional,No
10463,No,73,582,70,7,0,6,8,158,10,10,123,83,0,2,22,48,5-Low,Other,Other,Yes
10464,No,65,406,50,0,10,5,0,130,30,19,102,42,0,0,22,44,3-Good,Suburban,Other,Unknown
10465,No,50,398,60,0,0,3,0,76,30,53,66,101,0,0,22,52,6-VeryLow,Town,Professional,No
10466,No,29,204,40,0,0,1,0,0,0,0,17,11,0,0,24,44,2-High,Other,Other,No
10467,No,62,376,70,2,0,1,0,76,30,8,144,32,0,0,28,34,3-Good,Other,Professional,No
10468,No,30,119,30,0,0,7,0,20,10,0,41,6,0,0,26,32,1-Highest,Suburban,Other,Unknown
10469,No,42,417,40,0,0,1,0,42,5,0,47,43,0,0,26,70,2-High,Town,Professional,Yes
10470,Yes,54,172,52,0,0,6,0,2,9,0,39,3,0,0,24,30,2-High,Town,Professional,Yes
10471,No,24,92,22,0,0,2,0,28,4,1,25,19,0,0,26,56,2-High,Suburban,Other,No
10472,No,49,534,50,0,0,6,1,127,53,19,84,56,0,0,28,52,3-Good,Other,Other,Unknown
10473,Yes,28,3,25,0,0,0,0,0,0,0,0,0,0,0,22,44,7-Lowest,Suburban,Other,No
10474,No,37,146,35,9,0,0,0,33,3,0,32,24,0,0,22,38,4-Medium,Other,Other,No
10475,No,68,226,30,97,0,1,0,4,14,0,88,38,0,0,22,42,3-Good,Other,Other,Yes
10476,Yes,10,19,10,0,0,0,0,0,0,0,3,0,0,0,24,56,2-High,Town,Professional,Yes
10477,Yes,51,293,50,0,0,0,0,108,13,5,79,24,0,2,26,34,1-Highest,Town,Other,Unknown
10478,No,39,285,35,0,0,4,0,67,13,14,75,44,0,0,22,50,2-High,Suburban,Professional,Yes
10479,No,35,337,45,0,0,1,0,27,14,0,49,27,0,0,22,40,2-High,Other,Other,Yes
10480,No,84,1495,50,100,3,15,0,624,75,52,181,407,0,11,26,36,4-Medium,Other,Other,No
10481,Yes,49,451,60,0,0,1,2,104,63,26,106,99,0,4,24,61,4-Medium,Suburban,Other,Unknown
